,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTPTN,ATPTN,HGSTN,HGCTN,AGSTN,AGCTN,histhome,histaway
0,SP1,2009-08-29,Real Madrid,La Coruna,3,2,H,2,1,H,28,9,11,3,18,12,10,3,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,811,267
1,SP1,2009-08-29,Zaragoza,Tenerife,1,0,H,0,0,D,17,16,8,2,16,17,7,8,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163,36
2,SP1,2009-08-30,Almeria,Valladolid,0,0,D,0,0,D,20,7,5,1,9,11,12,2,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,144,115
3,SP1,2009-08-30,Ath Bilbao,Espanol,1,0,H,0,0,D,14,8,4,1,11,18,6,3,2,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,499,422
4,SP1,2009-08-30,Malaga,Ath Madrid,3,0,H,1,0,H,8,16,4,3,16,8,4,5,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,407,650
5,SP1,2009-08-30,Mallorca,Xerez,2,0,H,0,0,D,10,7,3,3,14,13,6,6,3,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,194,34
6,SP1,2009-08-30,Osasuna,Villarreal,1,1,D,1,1,D,7,11,2,7,18,14,4,14,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,244,470
7,SP1,2009-08-30,Santander,Getafe,1,4,A,1,3,A,4,9,3,6,14,10,4,5,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,112,366
8,SP1,2009-08-30,Valencia,Sevilla,2,0,H,0,0,D,8,3,6,1,20,14,7,0,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,557,542
9,SP1,2009-08-31,Barcelona,Sp Gijon,3,0,H,2,0,H,20,9,9,5,10,12,9,7,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,841,194
10,SP1,2009-09-12,Ath Madrid,Santander,1,1,D,1,1,D,23,8,10,3,13,20,7,2,1,2,0,1,0.0,0.0,0.0,3.0,1.0,4.0,650,112
11,SP1,2009-09-12,Espanol,Real Madrid,0,3,A,0,1,A,12,17,3,6,17,17,4,6,2,2,0,0,0.0,3.0,0.0,1.0,3.0,2.0,422,811
12,SP1,2009-09-12,Getafe,Barcelona,0,2,A,0,0,D,19,14,3,9,15,19,2,5,3,0,0,0,3.0,3.0,4.0,1.0,3.0,0.0,366,841
13,SP1,2009-09-12,Sevilla,Zaragoza,4,1,H,2,1,H,19,10,8,2,24,20,5,2,3,3,0,0,0.0,3.0,0.0,2.0,1.0,0.0,542,163
14,SP1,2009-09-13,La Coruna,Malaga,1,0,H,0,0,D,15,11,4,2,16,10,4,4,2,5,0,0,0.0,3.0,2.0,3.0,3.0,0.0,267,407
15,SP1,2009-09-13,Sp Gijon,Almeria,1,0,H,1,0,H,16,7,4,0,20,20,2,3,3,4,0,0,0.0,1.0,0.0,3.0,0.0,0.0,194,144
16,SP1,2009-09-13,Tenerife,Osasuna,2,1,H,0,0,D,16,7,5,3,17,16,5,6,1,3,0,2,0.0,1.0,0.0,1.0,1.0,1.0,36,244
17,SP1,2009-09-13,Valladolid,Valencia,2,4,A,1,3,A,14,15,9,6,10,15,2,3,1,2,0,0,1.0,3.0,0.0,0.0,2.0,0.0,115,557
18,SP1,2009-09-13,Villarreal,Mallorca,1,1,D,0,0,D,15,8,5,4,15,24,5,3,1,2,0,0,1.0,3.0,1.0,1.0,2.0,0.0,470,194
19,SP1,2009-09-13,Xerez,Ath Bilbao,0,1,A,0,1,A,17,15,4,5,14,17,7,3,4,3,1,0,0.0,3.0,0.0,2.0,1.0,0.0,34,499
20,SP1,2009-09-19,Barcelona,Ath Madrid,5,2,H,4,1,H,8,14,6,4,8,17,7,8,1,3,0,0,6.0,1.0,5.0,0.0,1.0,4.0,841,650
21,SP1,2009-09-19,La Coruna,Espanol,2,3,A,1,2,A,9,11,4,6,11,16,4,5,1,3,0,0,3.0,0.0,3.0,3.0,2.0,7.0,267,422
22,SP1,2009-09-19,Malaga,Santander,1,2,A,0,1,A,20,7,6,3,17,25,6,0,3,5,0,0,3.0,1.0,3.0,1.0,4.0,1.0,407,112
23,SP1,2009-09-19,Mallorca,Tenerife,4,0,H,1,0,H,16,10,9,2,19,15,3,5,1,2,0,2,4.0,3.0,3.0,1.0,2.0,2.0,194,36
24,SP1,2009-09-19,Osasuna,Sevilla,0,2,A,0,1,A,11,10,3,4,13,18,9,9,4,4,1,0,1.0,3.0,2.0,3.0,5.0,4.0,244,542
25,SP1,2009-09-20,Almeria,Getafe,1,0,H,0,0,D,11,23,3,11,19,13,4,12,4,3,0,0,1.0,3.0,0.0,1.0,4.0,3.0,144,366
26,SP1,2009-09-20,Ath Bilbao,Villarreal,3,2,H,2,0,H,20,11,9,6,21,19,8,3,2,5,0,0,6.0,2.0,2.0,0.0,3.0,2.0,499,470
27,SP1,2009-09-20,Real Madrid,Xerez,5,0,H,1,0,H,23,11,13,3,13,11,7,7,0,1,0,0,6.0,0.0,6.0,2.0,3.0,5.0,811,34
28,SP1,2009-09-20,Valencia,Sp Gijon,2,2,D,1,1,D,25,6,10,5,21,11,8,1,4,2,0,1,6.0,3.0,6.0,2.0,3.0,3.0,557,194
29,SP1,2009-09-20,Zaragoza,Valladolid,1,2,A,1,1,D,18,9,5,4,14,18,11,2,0,2,0,0,3.0,1.0,2.0,4.0,3.0,4.0,163,115
30,SP1,2009-09-22,Santander,Barcelona,1,4,A,0,3,A,4,20,2,6,10,10,2,3,4,1,0,0,4.0,9.0,4.0,6.0,9.0,7.0,112,841
31,SP1,2009-09-22,Sevilla,Mallorca,2,0,H,2,0,H,10,8,6,4,24,21,4,5,1,1,0,0,6.0,7.0,6.0,3.0,9.0,4.0,542,194
32,SP1,2009-09-23,Ath Madrid,Almeria,2,2,D,1,1,D,24,12,9,7,24,13,7,7,3,2,0,0,1.0,4.0,3.0,9.0,2.0,5.0,650,144
33,SP1,2009-09-23,Espanol,Malaga,2,1,H,0,1,A,12,15,5,9,14,13,11,7,2,4,0,0,3.0,3.0,3.0,6.0,1.0,7.0,422,407
34,SP1,2009-09-23,Getafe,Valencia,3,1,H,2,1,H,16,8,6,2,4,16,4,10,2,4,0,0,3.0,7.0,4.0,4.0,10.0,7.0,366,557
35,SP1,2009-09-23,Tenerife,Ath Bilbao,1,0,H,0,0,D,21,5,8,3,24,21,8,2,3,6,0,0,3.0,9.0,2.0,6.0,6.0,4.0,36,499
36,SP1,2009-09-23,Valladolid,Osasuna,1,2,A,0,1,A,10,10,1,3,23,15,4,3,3,3,2,0,4.0,1.0,4.0,5.0,1.0,4.0,115,244
37,SP1,2009-09-23,Villarreal,Real Madrid,0,2,A,0,1,A,10,17,4,6,23,20,4,5,2,3,1,0,2.0,9.0,4.0,5.0,9.0,1.0,470,811
38,SP1,2009-09-23,Xerez,La Coruna,0,3,A,0,1,A,10,13,3,3,10,16,5,8,1,1,0,0,0.0,3.0,0.0,8.0,5.0,6.0,34,267
39,SP1,2009-09-24,Sp Gijon,Zaragoza,1,1,D,1,0,H,13,13,5,5,12,19,5,8,2,2,0,0,4.0,3.0,3.0,5.0,2.0,9.0,194,163
40,SP1,2009-09-26,Ath Bilbao,Sevilla,0,4,A,0,3,A,13,16,3,8,21,13,4,3,2,2,1,0,9.0,9.0,5.0,3.0,6.0,0.0,499,542
41,SP1,2009-09-26,Malaga,Barcelona,0,2,A,0,1,A,3,11,0,6,16,17,3,1,3,3,1,0,3.0,12.0,5.0,5.0,8.0,4.0,407,841
42,SP1,2009-09-26,Real Madrid,Tenerife,3,0,H,0,0,D,18,20,7,7,15,22,5,8,1,5,0,0,12.0,6.0,13.0,2.0,7.0,6.0,811,36
43,SP1,2009-09-26,Valencia,Ath Madrid,2,2,D,2,1,H,15,15,7,3,15,10,13,5,2,1,0,0,7.0,2.0,9.0,7.0,10.0,9.0,557,650
44,SP1,2009-09-27,Almeria,Santander,2,2,D,1,0,H,13,13,4,6,14,19,7,4,3,2,0,0,5.0,4.0,3.0,3.0,3.0,6.0,144,112
45,SP1,2009-09-27,Espanol,Xerez,0,0,D,0,0,D,16,4,3,1,12,10,10,2,1,1,0,0,6.0,0.0,5.0,7.0,3.0,14.0,422,34
46,SP1,2009-09-27,La Coruna,Villarreal,1,0,H,1,0,H,12,13,7,7,23,17,3,9,1,3,0,0,6.0,2.0,8.0,6.0,7.0,11.0,267,470
47,SP1,2009-09-27,Mallorca,Valladolid,3,0,H,1,0,H,13,6,8,0,17,19,9,5,0,0,0,0,7.0,4.0,7.0,3.0,10.0,4.0,194,115
48,SP1,2009-09-27,Osasuna,Sp Gijon,1,0,H,0,0,D,12,9,2,0,14,18,5,1,1,3,0,0,4.0,5.0,4.0,6.0,5.0,8.0,244,194
49,SP1,2009-09-27,Zaragoza,Getafe,3,0,H,2,0,H,19,12,10,4,15,8,5,3,2,2,0,0,4.0,6.0,4.0,7.0,5.0,6.0,163,366
50,SP1,2009-10-03,Ath Madrid,Zaragoza,2,1,H,1,0,H,16,14,6,4,17,14,6,12,6,3,0,0,3.0,7.0,7.0,13.0,9.0,12.0,650,163
51,SP1,2009-10-03,Barcelona,Almeria,1,0,H,1,0,H,17,0,7,0,18,14,10,3,3,3,0,0,15.0,6.0,16.0,3.0,18.0,7.0,841,144
52,SP1,2009-10-03,Tenerife,La Coruna,0,1,A,0,0,D,17,11,4,5,20,13,6,9,2,1,0,0,6.0,9.0,3.0,9.0,7.0,6.0,36,267
53,SP1,2009-10-04,Getafe,Osasuna,2,1,H,0,0,D,14,13,7,2,16,19,5,5,2,2,0,0,6.0,7.0,7.0,8.0,10.0,6.0,366,244
54,SP1,2009-10-04,Santander,Valencia,0,1,A,0,0,D,18,7,6,2,21,20,6,1,1,3,0,0,5.0,8.0,7.0,12.0,8.0,15.0,112,557
55,SP1,2009-10-04,Sevilla,Real Madrid,2,1,H,1,0,H,24,17,10,3,20,9,14,6,4,3,0,0,12.0,15.0,12.0,3.0,13.0,3.0,542,811
56,SP1,2009-10-04,Sp Gijon,Mallorca,4,1,H,0,1,A,19,8,8,2,9,14,3,4,2,1,0,0,5.0,10.0,4.0,7.0,6.0,7.0,194,194
57,SP1,2009-10-04,Valladolid,Ath Bilbao,2,2,D,0,1,A,19,9,4,3,15,9,14,5,3,4,2,1,4.0,9.0,5.0,10.0,4.0,10.0,115,499
58,SP1,2009-10-04,Villarreal,Espanol,0,0,D,0,0,D,15,5,6,0,13,23,14,1,3,3,0,1,2.0,7.0,4.0,8.0,7.0,5.0,470,422
59,SP1,2009-10-04,Xerez,Malaga,1,1,D,0,0,D,6,18,3,4,14,22,4,8,3,2,0,1,1.0,3.0,0.0,11.0,1.0,12.0,34,407
60,SP1,2009-10-17,La Coruna,Sevilla,1,0,H,1,0,H,9,10,2,1,10,19,3,5,0,1,0,0,12.0,15.0,10.0,6.0,14.0,7.0,267,542
61,SP1,2009-10-17,Real Madrid,Valladolid,4,2,H,3,1,H,19,19,6,8,11,16,6,12,2,2,0,0,15.0,5.0,17.0,4.0,18.0,7.0,811,115
62,SP1,2009-10-17,Valencia,Barcelona,0,0,D,0,0,D,13,12,4,3,15,11,5,6,4,2,0,0,11.0,18.0,12.0,9.0,12.0,7.0,557,841
63,SP1,2009-10-18,Ath Bilbao,Sp Gijon,1,2,A,0,0,D,17,9,2,3,16,21,5,3,4,3,0,0,10.0,8.0,7.0,9.0,9.0,9.0,499,194
64,SP1,2009-10-18,Espanol,Tenerife,2,1,H,1,1,D,15,8,7,4,11,14,5,2,2,4,0,0,8.0,6.0,5.0,7.0,5.0,11.0,422,36
65,SP1,2009-10-18,Malaga,Almeria,1,2,A,0,2,A,16,18,5,7,23,18,6,3,4,3,0,0,4.0,6.0,6.0,8.0,5.0,8.0,407,144
66,SP1,2009-10-18,Mallorca,Getafe,3,1,H,1,0,H,14,14,8,4,26,24,7,5,3,3,0,0,10.0,9.0,11.0,7.0,12.0,7.0,194,366
67,SP1,2009-10-18,Osasuna,Ath Madrid,3,0,H,3,0,H,14,20,6,5,19,18,8,7,1,3,0,0,7.0,6.0,6.0,8.0,8.0,9.0,244,650
68,SP1,2009-10-18,Xerez,Villarreal,2,1,H,1,1,D,11,13,3,6,16,14,3,4,2,3,0,1,2.0,3.0,1.0,12.0,0.0,12.0,34,470
69,SP1,2009-10-18,Zaragoza,Santander,2,2,D,2,0,H,17,14,4,3,11,13,6,7,2,3,1,0,7.0,5.0,8.0,9.0,6.0,10.0,163,112
70,SP1,2009-10-24,Ath Madrid,Mallorca,1,1,D,0,0,D,25,8,6,2,15,25,11,3,0,3,0,2,6.0,13.0,9.0,17.0,13.0,19.0,650,194
71,SP1,2009-10-24,Sevilla,Espanol,0,0,D,0,0,D,28,8,8,1,13,19,11,0,2,5,0,1,15.0,11.0,14.0,5.0,16.0,5.0,542,422
72,SP1,2009-10-24,Sp Gijon,Real Madrid,0,0,D,0,0,D,10,13,2,5,20,10,3,7,2,4,0,0,11.0,18.0,10.0,9.0,9.0,11.0,194,811
73,SP1,2009-10-25,Almeria,Valencia,0,3,A,0,0,D,9,18,2,7,24,18,4,6,3,4,1,0,9.0,12.0,7.0,7.0,6.0,6.0,144,557
74,SP1,2009-10-25,Barcelona,Zaragoza,6,1,H,3,0,H,17,7,13,5,9,14,6,1,0,2,0,0,19.0,8.0,17.0,3.0,19.0,7.0,841,163
75,SP1,2009-10-25,Getafe,Ath Bilbao,2,0,H,0,0,D,21,9,10,4,17,15,13,2,2,2,0,2,9.0,10.0,10.0,12.0,12.0,13.0,366,499
76,SP1,2009-10-25,Santander,Osasuna,1,1,D,0,0,D,12,5,4,2,21,20,6,5,1,5,0,0,6.0,10.0,9.0,15.0,11.0,14.0,112,244
77,SP1,2009-10-25,Tenerife,Xerez,1,0,H,0,0,D,22,7,4,1,12,11,10,3,1,1,0,0,6.0,5.0,4.0,12.0,6.0,11.0,36,34
78,SP1,2009-10-25,Valladolid,La Coruna,4,0,H,1,0,H,19,11,8,3,14,10,4,5,3,1,0,0,5.0,15.0,9.0,16.0,7.0,10.0,115,267
79,SP1,2009-10-25,Villarreal,Malaga,2,1,H,1,1,D,17,9,6,2,14,10,3,6,3,3,0,0,3.0,4.0,5.0,10.0,6.0,11.0,470,407
80,SP1,2009-10-31,Ath Bilbao,Ath Madrid,1,0,H,1,0,H,17,16,6,6,13,16,5,5,1,2,0,0,10.0,7.0,8.0,13.0,9.0,15.0,499,650
81,SP1,2009-10-31,Osasuna,Barcelona,1,1,D,0,0,D,9,16,3,7,15,10,4,7,1,3,0,0,11.0,22.0,10.0,9.0,12.0,9.0,244,841
82,SP1,2009-10-31,Real Madrid,Getafe,2,0,H,0,0,D,23,17,8,7,9,11,2,5,2,1,1,0,19.0,12.0,21.0,6.0,24.0,9.0,811,366
83,SP1,2009-10-31,Xerez,Sevilla,0,2,A,0,1,A,8,16,2,7,23,18,5,9,4,3,0,0,5.0,16.0,3.0,14.0,1.0,13.0,34,542
84,SP1,2009-11-01,Espanol,Valladolid,1,1,D,0,0,D,10,15,4,1,18,15,9,1,4,4,0,0,12.0,8.0,7.0,8.0,11.0,11.0,422,115
85,SP1,2009-11-01,La Coruna,Sp Gijon,1,1,D,1,0,H,14,13,4,5,14,10,10,3,2,3,0,0,15.0,12.0,11.0,10.0,13.0,7.0,267,194
86,SP1,2009-11-01,Malaga,Valencia,0,1,A,0,0,D,16,20,5,6,12,18,5,9,3,2,0,0,4.0,15.0,8.0,12.0,10.0,10.0,407,557
87,SP1,2009-11-01,Mallorca,Santander,1,0,H,1,0,H,17,10,6,3,17,19,4,1,1,1,0,0,14.0,7.0,15.0,9.0,17.0,11.0,194,112
88,SP1,2009-11-01,Villarreal,Tenerife,5,0,H,1,0,H,11,13,5,2,19,19,4,4,1,0,0,0,6.0,9.0,7.0,11.0,6.0,10.0,470,36
89,SP1,2009-11-01,Zaragoza,Almeria,2,1,H,2,1,H,21,12,6,4,26,29,8,1,5,5,0,0,8.0,9.0,11.0,17.0,10.0,13.0,163,144
90,SP1,2009-11-07,Ath Madrid,Real Madrid,2,3,A,0,2,A,18,15,8,6,16,18,7,4,3,4,0,1,7.0,22.0,10.0,19.0,12.0,18.0,650,811
91,SP1,2009-11-07,Barcelona,Mallorca,4,2,H,3,1,H,18,10,10,5,18,22,2,4,1,2,0,0,23.0,17.0,24.0,5.0,19.0,4.0,841,194
92,SP1,2009-11-07,Getafe,La Coruna,0,2,A,0,1,A,22,8,3,3,18,12,14,3,4,1,0,2,12.0,16.0,12.0,14.0,13.0,17.0,366,267
93,SP1,2009-11-07,Tenerife,Malaga,2,2,D,2,1,H,10,17,4,7,21,13,4,4,4,5,0,0,9.0,4.0,5.0,17.0,6.0,15.0,36,407
94,SP1,2009-11-08,Almeria,Osasuna,2,0,H,1,0,H,10,10,3,1,18,17,11,4,2,2,0,0,9.0,12.0,8.0,12.0,9.0,12.0,144,244
95,SP1,2009-11-08,Santander,Ath Bilbao,0,2,A,0,1,A,11,10,5,5,23,18,7,6,4,2,0,0,7.0,13.0,10.0,17.0,10.0,17.0,112,499
96,SP1,2009-11-08,Sevilla,Villarreal,3,2,H,1,1,D,15,5,6,3,17,16,11,6,2,2,0,0,19.0,9.0,16.0,5.0,22.0,8.0,542,470
97,SP1,2009-11-08,Sp Gijon,Espanol,1,0,H,1,0,H,14,11,3,2,15,17,5,5,3,3,0,0,13.0,13.0,11.0,10.0,11.0,10.0,194,422
98,SP1,2009-11-08,Valencia,Zaragoza,3,1,H,3,0,H,10,13,7,4,17,17,6,6,2,5,0,0,18.0,11.0,16.0,9.0,18.0,16.0,557,163
99,SP1,2009-11-08,Valladolid,Xerez,0,0,D,0,0,D,13,4,3,2,8,16,12,3,0,3,0,1,9.0,5.0,14.0,17.0,9.0,19.0,115,34
100,SP1,2009-11-21,Ath Bilbao,Barcelona,1,1,D,0,0,D,8,13,1,3,17,15,5,7,1,1,0,0,16.0,26.0,11.0,13.0,14.0,16.0,499,841
101,SP1,2009-11-21,La Coruna,Ath Madrid,2,1,H,1,1,D,22,14,11,5,13,25,9,3,3,3,0,1,19.0,7.0,14.0,11.0,13.0,14.0,267,650
102,SP1,2009-11-21,Real Madrid,Santander,1,0,H,1,0,H,20,8,9,0,11,20,7,0,2,3,0,0,25.0,7.0,26.0,8.0,23.0,9.0,811,112
103,SP1,2009-11-21,Tenerife,Sevilla,1,2,A,0,1,A,11,11,1,3,9,15,6,4,4,3,0,0,10.0,22.0,7.0,19.0,10.0,14.0,36,542
104,SP1,2009-11-22,Espanol,Getafe,0,2,A,0,0,D,14,11,3,4,13,15,7,3,2,4,0,0,13.0,12.0,8.0,10.0,7.0,12.0,422,366
105,SP1,2009-11-22,Malaga,Zaragoza,1,1,D,0,0,D,15,7,4,1,22,22,6,4,5,3,1,1,5.0,11.0,10.0,15.0,11.0,18.0,407,163
106,SP1,2009-11-22,Mallorca,Almeria,3,1,H,0,0,D,11,20,5,10,13,16,9,10,4,3,0,0,17.0,12.0,18.0,13.0,19.0,11.0,194,144
107,SP1,2009-11-22,Osasuna,Valencia,1,3,A,0,2,A,8,15,2,3,18,19,4,5,3,2,2,0,12.0,21.0,11.0,12.0,15.0,11.0,244,557
108,SP1,2009-11-22,Villarreal,Valladolid,3,1,H,1,0,H,13,13,6,5,8,20,7,6,1,2,0,0,9.0,10.0,14.0,14.0,8.0,12.0,470,115
109,SP1,2009-11-22,Xerez,Sp Gijon,0,0,D,0,0,D,10,5,3,2,10,11,12,1,2,2,0,0,6.0,16.0,3.0,16.0,5.0,17.0,34,194
110,SP1,2009-11-28,Sevilla,Malaga,2,2,D,0,2,A,13,9,6,4,20,31,5,4,4,4,0,1,25.0,6.0,21.0,8.0,19.0,8.0,542,407
111,SP1,2009-11-28,Sp Gijon,Villarreal,1,0,H,0,0,D,12,6,5,2,17,13,8,0,1,4,0,1,17.0,12.0,12.0,10.0,16.0,14.0,194,470
112,SP1,2009-11-28,Valencia,Mallorca,1,1,D,0,0,D,17,9,6,2,11,15,11,2,4,4,0,0,24.0,20.0,22.0,11.0,21.0,14.0,557,194
113,SP1,2009-11-29,Almeria,Ath Bilbao,1,4,A,0,2,A,13,17,5,7,28,13,6,3,3,4,0,0,12.0,17.0,11.0,15.0,13.0,13.0,144,499
114,SP1,2009-11-29,Ath Madrid,Espanol,4,0,H,1,0,H,17,5,6,1,20,17,8,4,2,2,0,1,7.0,13.0,13.0,24.0,12.0,25.0,650,422
115,SP1,2009-11-29,Barcelona,Real Madrid,1,0,H,0,0,D,9,16,4,2,17,25,6,6,0,4,1,1,27.0,28.0,29.0,8.0,28.0,7.0,841,811
116,SP1,2009-11-29,Getafe,Xerez,5,1,H,2,1,H,16,7,6,2,8,17,7,3,0,3,0,1,15.0,7.0,14.0,16.0,12.0,16.0,366,34
117,SP1,2009-11-29,Santander,La Coruna,0,1,A,0,0,D,13,11,3,6,18,12,5,3,3,3,0,0,7.0,22.0,10.0,20.0,14.0,18.0,112,267
118,SP1,2009-11-29,Valladolid,Tenerife,3,3,D,2,0,H,16,13,8,5,14,16,8,8,2,2,0,1,10.0,10.0,15.0,20.0,17.0,26.0,115,36
119,SP1,2009-11-29,Zaragoza,Osasuna,0,1,A,0,1,A,21,9,2,4,21,18,6,7,6,2,0,0,12.0,12.0,15.0,22.0,14.0,23.0,163,244
120,SP1,2009-12-02,Xerez,Barcelona,0,2,A,0,0,D,7,14,4,3,13,16,3,9,1,0,0,0,7.0,30.0,4.0,21.0,5.0,17.0,34,841
121,SP1,2009-12-05,La Coruna,Barcelona,1,3,A,1,1,D,4,19,1,9,9,13,1,9,1,2,0,0,25.0,33.0,17.0,12.0,19.0,12.0,267,841
122,SP1,2009-12-05,Real Madrid,Almeria,4,2,H,1,0,H,37,9,14,4,15,16,8,3,0,4,1,0,28.0,12.0,27.0,9.0,29.0,15.0,811,144
123,SP1,2009-12-05,Sevilla,Valladolid,1,1,D,1,1,D,17,9,4,2,16,22,4,4,4,4,0,1,26.0,11.0,23.0,10.0,25.0,14.0,542,115
124,SP1,2009-12-05,Xerez,Ath Madrid,0,2,A,0,1,A,11,9,4,6,17,18,8,7,1,1,1,1,7.0,10.0,4.0,23.0,8.0,18.0,34,650
125,SP1,2009-12-06,Ath Bilbao,Valencia,1,2,A,0,0,D,9,8,4,3,18,18,2,5,2,4,1,0,20.0,25.0,16.0,15.0,16.0,16.0,499,557
126,SP1,2009-12-06,Espanol,Santander,0,4,A,0,0,D,10,15,1,5,19,21,4,7,2,4,0,0,13.0,7.0,8.0,16.0,8.0,12.0,422,112
127,SP1,2009-12-06,Malaga,Osasuna,1,1,D,0,0,D,16,7,2,3,23,18,6,5,2,2,0,0,7.0,15.0,13.0,18.0,14.0,18.0,407,244
128,SP1,2009-12-06,Mallorca,Zaragoza,4,1,H,1,0,H,14,9,7,5,16,14,4,7,3,3,0,0,21.0,12.0,22.0,15.0,19.0,15.0,194,163
129,SP1,2009-12-06,Tenerife,Sp Gijon,2,1,H,0,1,A,13,4,6,1,9,10,6,3,1,3,0,0,11.0,20.0,11.0,24.0,9.0,21.0,36,194
130,SP1,2009-12-06,Villarreal,Getafe,3,2,H,1,1,D,11,5,6,3,17,19,7,0,3,4,2,0,12.0,18.0,17.0,16.0,21.0,15.0,470,366
131,SP1,2009-12-12,Barcelona,Espanol,1,0,H,1,0,H,15,7,3,2,15,20,10,2,3,3,0,0,36.0,13.0,35.0,9.0,29.0,16.0,841,422
132,SP1,2009-12-12,Valencia,Real Madrid,2,3,A,0,0,D,12,14,5,6,19,15,7,2,4,2,0,0,28.0,31.0,25.0,13.0,27.0,15.0,557,811
133,SP1,2009-12-12,Zaragoza,Ath Bilbao,1,2,A,0,0,D,15,9,2,4,21,18,6,2,3,6,0,0,12.0,20.0,16.0,27.0,20.0,25.0,163,499
134,SP1,2009-12-13,Almeria,La Coruna,1,1,D,0,0,D,15,17,4,4,17,12,8,6,1,0,0,0,12.0,25.0,14.0,23.0,14.0,22.0,144,267
135,SP1,2009-12-13,Ath Madrid,Villarreal,1,2,A,1,0,H,8,22,1,11,22,4,5,3,2,0,0,0,13.0,15.0,19.0,24.0,16.0,27.0,650,470
136,SP1,2009-12-13,Getafe,Tenerife,2,1,H,1,0,H,13,11,5,1,18,13,10,1,1,1,0,0,18.0,14.0,21.0,20.0,24.0,21.0,366,36
137,SP1,2009-12-13,Osasuna,Mallorca,0,1,A,0,0,D,8,10,2,2,18,22,5,6,2,3,0,0,16.0,24.0,14.0,16.0,17.0,17.0,244,194
138,SP1,2009-12-13,Santander,Xerez,3,2,H,1,1,D,14,14,7,4,20,11,6,6,3,3,0,0,10.0,7.0,14.0,21.0,11.0,29.0,112,34
139,SP1,2009-12-13,Sp Gijon,Sevilla,0,1,A,0,1,A,12,8,2,2,25,17,4,7,5,3,0,0,20.0,27.0,14.0,12.0,17.0,14.0,194,542
140,SP1,2009-12-13,Valladolid,Malaga,1,1,D,0,1,A,22,10,4,1,17,21,7,4,3,3,0,0,12.0,8.0,19.0,24.0,18.0,23.0,115,407
141,SP1,2009-12-19,Ath Bilbao,Osasuna,2,0,H,2,0,H,11,9,3,4,22,12,2,1,3,4,0,0,23.0,16.0,19.0,18.0,18.0,19.0,499,244
142,SP1,2009-12-19,Real Madrid,Zaragoza,6,0,H,4,0,H,20,6,9,2,18,18,3,4,2,3,0,0,34.0,12.0,34.0,13.0,33.0,17.0,811,163
143,SP1,2009-12-19,Sevilla,Getafe,1,2,A,0,2,A,26,7,5,5,14,16,8,1,1,5,0,0,30.0,21.0,25.0,11.0,28.0,15.0,542,366
144,SP1,2009-12-20,Espanol,Almeria,2,0,H,1,0,H,18,9,4,3,27,18,11,8,3,3,0,0,13.0,13.0,8.0,21.0,11.0,21.0,422,144
145,SP1,2009-12-20,La Coruna,Valencia,0,0,D,0,0,D,14,15,3,3,9,16,2,4,1,3,0,0,26.0,28.0,19.0,16.0,22.0,19.0,267,557
146,SP1,2009-12-20,Malaga,Mallorca,2,1,H,1,0,H,8,14,4,5,16,14,3,5,2,4,0,0,9.0,27.0,15.0,20.0,15.0,19.0,407,194
147,SP1,2009-12-20,Tenerife,Ath Madrid,1,1,D,1,1,D,22,9,10,1,12,16,2,4,1,5,0,0,14.0,13.0,14.0,27.0,14.0,26.0,36,650
148,SP1,2009-12-20,Valladolid,Sp Gijon,2,1,H,1,1,D,17,8,4,3,12,19,2,5,3,2,0,0,13.0,20.0,20.0,25.0,20.0,27.0,115,194
149,SP1,2009-12-20,Villarreal,Santander,2,0,H,0,0,D,20,4,8,0,14,23,10,5,1,4,0,0,18.0,13.0,22.0,19.0,24.0,18.0,470,112
150,SP1,2010-01-02,Ath Madrid,Sevilla,2,1,H,0,1,A,12,7,3,1,21,16,5,6,3,3,0,1,14.0,30.0,21.0,27.0,22.0,28.0,650,542
151,SP1,2010-01-02,Barcelona,Villarreal,1,1,D,1,0,H,12,8,3,2,22,15,6,7,2,4,0,0,39.0,21.0,36.0,9.0,40.0,10.0,841,470
152,SP1,2010-01-02,Valencia,Espanol,1,0,H,0,0,D,17,11,8,3,18,18,6,0,3,4,0,0,29.0,16.0,27.0,16.0,27.0,14.0,557,422
153,SP1,2010-01-03,Almeria,Xerez,1,0,H,0,0,D,12,10,4,2,18,13,7,1,3,5,0,0,13.0,7.0,15.0,26.0,17.0,27.0,144,34
154,SP1,2010-01-03,Getafe,Valladolid,1,0,H,0,0,D,18,10,7,3,16,21,8,3,1,3,0,0,24.0,16.0,25.0,22.0,23.0,20.0,366,115
